Order Number,Order Date,Item Name,Quantity,Product Price,Total products
16110,03/08/2019,Plain Naan,1,2.6,8
16110,03/08/2019,Tandoori Chicken Masala,1,8.95,8
16109,03/08/2019,Plain Papadum,4,0.8,7
16109,03/08/2019,Red Sauce,2,0.5,7
16109,03/08/2019,Chicken Tikka Masala,1,8.95,7
16109,03/08/2019,Madras - Chicken Tikka,1,7.95,7
16109,03/08/2019,Mushroom Rice,2,3.95,7
16109,03/08/2019,Garlic Naan,1,2.95,7
16109,03/08/2019,Bombay Aloo,1,5.95,7
16108,03/08/2019,Onion Bhajee,1,3.95,15
16108,03/08/2019,Sheek Kebab,1,4.95,15
16108,03/08/2019,Plain Papadum,8,0.8,15
16108,03/08/2019,Mango Chutney,2,0.5,15
16108,03/08/2019,Mint Sauce,2,0.5,15
16108,03/08/2019,Onion Chutney,1,0.5,15
16108,03/08/2019,Chicken Tikka (Main),1,8.95,15
16108,03/08/2019,Korma - Chicken,1,8.95,15
16108,03/08/2019,Chicken Tikka Masala,1,8.95,15
16108,03/08/2019,Plain Rice,1,2.95,15
16108,03/08/2019,Pilau Rice,1,2.95,15
16108,03/08/2019,Keema Naan,2,2.95,15
16108,03/08/2019,French Fries,1,3.95,15
16108,03/08/2019,Chicken Biryani,1,9.95,15
16108,03/08/2019,Mushroom Rice,1,3.95,15
16107,03/08/2019,Onion Bhajee,1,3.95,4
16107,03/08/2019,Korma - Chicken,1,8.95,4
16107,03/08/2019,Peshwari Naan,1,2.95,4
16107,03/08/2019,Pilau Rice,1,2.95,4
16106,03/08/2019,Chicken Tikka (Main),1,8.95,3
16106,03/08/2019,Chicken Tikka Masala,1,8.95,3
16106,03/08/2019,Meat Samosa,1,3.95,3
16105,03/08/2019,Plain Papadum,2,0.8,9
16105,03/08/2019,Mango Chutney,1,0.5,9
16105,03/08/2019,Mint Sauce,1,0.5,9
16105,03/08/2019,Red Sauce,1,0.5,9
16105,03/08/2019,Keema Rice,1,3.95,9
16105,03/08/2019,Keema Naan,1,2.95,9
16105,03/08/2019,Chicken Chilli Garlic,1,9.95,9
16105,03/08/2019,Lamb Hari Mirch,1,9.95,9
16105,03/08/2019,Mushroom Bhajee,1,5.95,9
16104,03/08/2019,Curry - Chicken,1,7.95,4
16104,03/08/2019,Bombay Aloo,1,5.95,4
16104,03/08/2019,Plain Naan,1,2.6,4
16104,03/08/2019,Vegetable Rice,1,3.95,4
16103,03/08/2019,Chicken Tikka Biryani,1,10.95,2
16103,03/08/2019,Mixed Starter,1,5.95,2
16102,03/08/2019,Onion Bhajee,1,3.95,4
16102,03/08/2019,Chicken Tikka Biryani,1,10.95,4
16102,03/08/2019,Bhuna - Chicken Tikka,1,8.95,4
16102,03/08/2019,Mushroom Rice,1,3.95,4
16101,03/08/2019,Keema Rice,1,3.95,3
16101,03/08/2019,Madras - Lamb,1,7.95,3
